id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,chunk_calls,wasted_tokens,tokens,held_fraction,divergences,correct,analytic_speedup
doc-append-sentence,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,1.3154,576.14,682.35,7,2,5,0,88,0.6705,2,pass,2.0952
doc-append-sentence,doc_summary,baseline,2,1.4996,18.7,1480.21,1,0,0,0,94,,,pass,1.0
doc-append-sentence,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,1.3125,576.82,679.44,7,2,5,0,88,0.6705,2,pass,2.0952
doc-reword-middle,doc_summary,baseline,0,1.3081,19.02,1288.4,1,0,0,0,82,,,pass,1.0
doc-reword-middle,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.0741,809.77,227.63,4,2,2,0,74,0.9054,1,pass,4.3529
doc-reword-middle,doc_summary,baseline,1,1.3092,18.62,1289.92,1,0,0,0,82,,,pass,1.0
doc-reword-middle,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,1.0675,803.54,227.68,4,2,2,0,74,0.9054,1,pass,4.3529
doc-reword-middle,doc_summary,baseline,2,1.3102,18.34,1291.21,1,0,0,0,82,,,pass,1.0
doc-reword-middle,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,1.067,804.05,226.88,4,2,2,0,74,0.9054,1,pass,4.3529
doc-append-unrelated,doc_summary,baseline,0,0.8971,18.87,877.61,1,0,0,0,56,,,pass,1.0
doc-append-unrelated,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.7503,489.75,226.39,4,2,2,0,54,0.7778,1,pass,2.8421
doc-append-unrelated,doc_summary,baseline,1,0.8954,18.97,875.76,1,0,0,0,56,,,pass,1.0
doc-append-unrelated,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.7498,489.91,226.41,4,2,2,0,54,0.7778,1,pass,2.8421
doc-append-unrelated,doc_summary,baseline,2,0.8947,18.58,875.32,1,0,0,0,56,,,pass,1.0
doc-append-unrelated,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.7496,489.09,226.99,4,2,2,0,54,0.7778,1,pass,2.8421
doc-fix-punctuation,doc_summary,baseline,0,0.7893,18.85,769.69,1,0,0,0,49,,,pass,1.0
doc-fix-punctuation,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.3379,327.84,0.0,1,1,0,0,45,1.0,0,pass,15.0
doc-fix-punctuation,doc_summary,baseline,1,0.782,19.0,762.36,1,0,0,0,49,,,pass,1.0
doc-fix-punctuation,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.3339,323.94,0.0,1,1,0,0,45,1.0,0,pass,15.0
doc-fix-punctuation,doc_summary,baseline,2,0.7846,19.12,764.72,1,0,0,0,49,,,pass,1.0
doc-fix-punctuation,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.3371,327.17,0.0,1,1,0,0,45,1.0,0,pass,15.0
doc-change-key-fact,doc_summary,baseline,0,1.055,18.58,1035.7,1,0,0,0,66,,,pass,1.0
doc-change-key-fact,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.0296,498.33,475.14,7,2,5,1,54,0.5556,2,FAIL,1.5429
doc-change-key-fact,doc_summary,baseline,1,1.0516,19.09,1031.8,1,0,0,0,66,,,pass,1.0
doc-change-key-fact,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,1.0349,502.83,475.52,7,2,5,1,54,0.5556,2,FAIL,1.5429
doc-change-key-fact,doc_summary,baseline,2,1.0561,18.98,1036.48,1,0,0,0,66,,,pass,1.0
doc-change-key-fact,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,1.0357,502.79,476.4,7,2,5,1,54,0.5556,2,FAIL,1.5429
fact-irrelevant-row,fact_answer,baseline,0,0.4964,18.83,476.86,1,0,0,0,31,,,FAIL,1.0
fact-irrelevant-row,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,0.2359,226.9,0.0,1,1,0,0,30,1.0,0,FAIL,15.0
fact-irrelevant-row,fact_answer,baseline,1,0.497,18.55,477.82,1,0,0,0,31,,,FAIL,1.0
fact-irrelevant-row,fact_answer,"entropy_floor:tau=3.0,floor=1.0",1,0.2408,231.48,0.0,1,1,0,0,30,1.0,0,FAIL,15.0
fact-irrelevant-row,fact_answer,baseline,2,0.4878,19.61,467.57,1,0,0,0,31,,,FAIL,1.0
fact-irrelevant-row,fact_answer,"entropy_floor:tau=3.0,floor=1.0",2,0.2333,224.55,0.0,1,1,0,0,30,1.0,0,FAIL,15.0
fact-answer-changing-edit,fact_answer,baseline,0,0.4951,18.45,475.97,1,0,0,0,31,,,pass,1.0
fact-answer-changing-edit,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,0.4149,322.31,68.24,3,2,1,0,30,0.8667,1,pass,2.7273
fact-answer-changing-edit,fact_answer,baseline,1,0.4988,19.32,478.68,1,0,0,0,31,,,pass,1.0
fact-answer-changing-edit,fact_answer,"entropy_floor:tau=3.0,floor=1.0",1,0.4172,323.32,69.18,3,2,1,0,30,0.8667,1,pass,2.7273
fact-answer-changing-edit,fact_answer,baseline,2,0.4964,18.72,476.99,1,0,0,0,31,,,pass,1.0
fact-answer-changing-edit,fact_answer,"entropy_floor:tau=3.0,floor=1.0",2,0.4167,323.63,68.7,3,2,1,0,30,0.8667,1,pass,2.7273
fact-relabel-column,fact_answer,baseline,0,0.5134,19.01,493.77,1,0,0,0,32,,,FAIL,1.0
fact-relabel-column,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,0.3648,272.66,68.16,3,2,1,0,31,0.871,1,FAIL,2.8182
fact-relabel-column,fact_answer,baseline,1,0.5133,19.06,493.61,1,0,0,0,32,,,FAIL,1.0
fact-relabel-column,fact_answer,"entropy_floor:tau=3.0,floor=1.0",1,0.3624,270.09,68.55,3,2,1,0,31,0.871,1,FAIL,2.8182
fact-relabel-column,fact_answer,baseline,2,0.5131,18.74,493.74,1,0,0,0,32,,,FAIL,1.0
fact-relabel-column,fact_answer,"entropy_floor:tau=3.0,floor=1.0",2,0.3645,271.5,69.01,3,2,1,0,31,0.871,1,FAIL,2.8182
fact-metric-threshold-crossed,fact_answer,baseline,0,0.5127,18.57,493.44,1,0,0,0,32,,,pass,1.0
fact-metric-threshold-crossed,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,0.3522,259.88,68.71,3,1,2,0,30,0.8333,1,pass,2.7273
fact-metric-threshold-crossed,fact_answer,baseline,1,0.5128,18.69,493.51,1,0,0,0,32,,,pass,1.0
fact-metric-threshold-crossed,fact_answer,"entropy_floor:tau=3.0,floor=1.0",1,0.3545,261.17,68.55,3,1,2,0,30,0.8333,1,pass,2.7273
fact-metric-threshold-crossed,fact_answer,baseline,2,0.5125,18.97,492.81,1,0,0,0,32,,,pass,1.0
fact-metric-threshold-crossed,fact_answer,"entropy_floor:tau=3.0,floor=1.0",2,0.3584,264.9,69.55,3,1,2,0,30,0.8333,1,pass,2.7273
fact-ranking-changes,fact_answer,baseline,0,0.3364,18.3,317.55,1,0,0,0,21,,,pass,1.0
